Title ,Link
Linear Algebra 1.6.2 Applications of Linear Systems - Network Flow,https://www.youtube.com/watch?v=Vk5Iun6sxhM
Linear Algebra 1.7.1 Linear Independence,https://www.youtube.com/watch?v=ofGN1Gtgjok
Linear Algebra 1.7.2 Special Ways to Determine Linear Independence,https://www.youtube.com/watch?v=EdLoNRo0s28
Linear Algebra 1.8.1 Matrix Transformations,https://www.youtube.com/watch?v=oo2ej9M49Tw
Linear Algebra 1.8.2 Introduction to Linear Transformations,https://www.youtube.com/watch?v=ofAcvZVEfBk
Linear Algebra 2.1.1 Matrix Operations - Sums and Scalar Multiples,https://www.youtube.com/watch?v=dFc2XK9dyNs
Linear Algebra 2.1.2 Matrix Operations - Multiplication and Transpose,https://www.youtube.com/watch?v=RM24OPadFMA
Linear Algebra 2.2.1 The Inverse of a Matrix,https://www.youtube.com/watch?v=kCPmiFAdCQ0
Linear Algebra 2.2.2 Solving 2x2 Systems with the Inverse and Inverse Properties,https://www.youtube.com/watch?v=XE1WlvE1Iig
Linear Algebra 2.2.3 Elementary Matrices And An Algorithm for Finding A Inverse,https://www.youtube.com/watch?v=zcm8plpCUZI
Linear Algebra 2.3.1 Characterizations of Invertible Matrices,https://www.youtube.com/watch?v=Ht2Zl0Hfg_I
Linear Algebra 3.1.1 Introduction to Determinants,https://www.youtube.com/watch?v=UWaeMiP_vK8
Linear Algebra 3.1.2 Co-factor Expansion,https://www.youtube.com/watch?v=bTf1ixziEO4
Linear Algebra 3.2.1 Properties of Determinants,https://www.youtube.com/watch?v=9NRmIEbuSq8
Linear Algebra 4.1.1 Vector Spaces,https://www.youtube.com/watch?v=QMwwplztQfY
Linear Algebra 4.1.2 Subspace of a Vector Space,https://www.youtube.com/watch?v=2Ee2B1Jp5ZE
Linear Algebra 4.2.1 Null Spaces,https://www.youtube.com/watch?v=Dn7pcKMrU0s
Linear Algebra 4.2.2 Column Spaces,https://www.youtube.com/watch?v=2L0qOtgu9eE
Linear Algebra 4.3.1 Linearly Independent Sets and Bases,https://www.youtube.com/watch?v=lOyFbpemz58
Linear Algebra 4.3.2 The Spanning Set Theorem,https://www.youtube.com/watch?v=atwUmR-qpfk
Linear Algebra 4.5.1 The Dimension of a Vector Space,https://www.youtube.com/watch?v=jk6YPdIIJUg
Linear Algebra 4.5.2 Subspaces of a Finite Dimensional Space,https://www.youtube.com/watch?v=lgKR0iJi7Ww
Linear Algebra 4.6.1 The Row Space,https://www.youtube.com/watch?v=4TpVjdY8uGc
Linear Algebra 4.6.2 Rank,https://www.youtube.com/watch?v=1MYkWhpuLtY
Linear Algebra 5.1.1 Eigenvectors and Eigenvalues,https://www.youtube.com/watch?v=yh5ABTeNUpE
Linear Algebra 5.1.2 More About Eigenvectors and Eigenvalues,https://www.youtube.com/watch?v=g4pC_MQagg8
Linear Algebra 5.2.1 Determinants and the IMT,https://www.youtube.com/watch?v=XMWBC5_rFpI
Linear Algebra 5.2.2 The Characteristic Equation,https://www.youtube.com/watch?v=a7KAdb2zqvg
"Linear Algebra 6.1.1 Inner Product, Vector Length and Distance",https://www.youtube.com/watch?v=C2iKgnGby0I
Linear Algebra 6.1.2 Orthogonal Vectors,https://www.youtube.com/watch?v=4yNrSg7b4JA
Linear Algebra 6.2.1 Orthogonal Sets,https://www.youtube.com/watch?v=zd1hPXMwWhs
Linear Algebra 6.2.2 Orthogonal Projections,https://www.youtube.com/watch?v=fqbwErsP8Xw
Linear Algebra 6.3.1 Orthogonal Decomposition Theorem,https://www.youtube.com/watch?v=fkWCkdBualw
Linear Algebra 6.3.2 The Best Approximation Theorem,https://www.youtube.com/watch?v=tDAH7TZICT8
Linear Algebra 6.5.1 Least Squares Problems,https://www.youtube.com/watch?v=o0N5VVX6K9Y
Gaussian Elimination & Row Echelon Form,https://www.youtube.com/watch?v=eDb6iugi6Uk&pp=ygUObGluZWFyIGFsZ2VicmE%3D
Why You Should Give a Shit About Linear Algebra | Practical Linear Algebra (Lecture 1),https://www.youtube.com/watch?v=FKs1XhlrZDw&pp=ygUkbGluZWFyIGFsZ2VicmEgcHJhY3RpY2FsIGFwcGxpY2F0aW9u
The Applications of Matrices | What I wish my teachers told me way earlier,https://www.youtube.com/watch?v=rowWM-MijXU&pp=ygUkbGluZWFyIGFsZ2VicmEgcHJhY3RpY2FsIGFwcGxpY2F0aW9u
Linear algebra applications | Linear algebra applied | Linear algebra applications in real life,https://www.youtube.com/watch?v=of6yOVuJ33c&pp=ygUkbGluZWFyIGFsZ2VicmEgcHJhY3RpY2FsIGFwcGxpY2F0aW9u
Why is Linear Algebra Useful?,https://www.youtube.com/watch?v=X0HXnHKPXSo&pp=ygUkbGluZWFyIGFsZ2VicmEgcHJhY3RpY2FsIGFwcGxpY2F0aW9u
"Dear linear algebra students, This is what matrices (and matrix manipulation) really look like",https://www.youtube.com/watch?v=4csuTO7UTMo&pp=ygUkbGluZWFyIGFsZ2VicmEgcHJhY3RpY2FsIGFwcGxpY2F0aW9u
Deep Dive: Mathematics for Machine Learning || Podcast || Step by step,https://www.youtube.com/watch?v=oU8S2OP3kJ0&pp=ygUkbGluZWFyIGFsZ2VicmEgcHJhY3RpY2FsIGFwcGxpY2F0aW9u
How is Linear Algebra ACTUALLY applied in Solving Real-life Problems | Managing Traffic Network,https://www.youtube.com/watch?v=iXplW4jxEVg&pp=ygUkbGluZWFyIGFsZ2VicmEgcHJhY3RpY2FsIGFwcGxpY2F0aW9u
Gilbert Strang: Linear Algebra vs Calculus,https://www.youtube.com/watch?v=osEADxaIKIc&pp=ygUkbGluZWFyIGFsZ2VicmEgcHJhY3RpY2FsIGFwcGxpY2F0aW9u
How to Make it Through Calculus (Neil deGrasse Tyson),https://www.youtube.com/watch?v=NjvwWiCYLl4&pp=ygUkbGluZWFyIGFsZ2VicmEgcHJhY3RpY2FsIGFwcGxpY2F0aW9u
The Best Way To Learn Linear Algebra,https://www.youtube.com/watch?v=2RDrcR7urdA&pp=ygUkbGluZWFyIGFsZ2VicmEgcHJhY3RpY2FsIGFwcGxpY2F0aW9u
I Solved 1583 Leetcode Questions Here's What I Learned,https://www.youtube.com/watch?v=vHua-t_8hrA&t=562s&pp=ygUkbGluZWFyIGFsZ2VicmEgcHJhY3RpY2FsIGFwcGxpY2F0aW9u
"SAAS AI Chatbot - Email Marketing, Nextjs15, Clerk, Neon, Uploadcare, Cloudways, Bun, Stripe, Pusher",https://www.youtube.com/watch?v=9pCsyBlpmrc&t=270s&pp=ygUkbGluZWFyIGFsZ2VicmEgcHJhY3RpY2FsIGFwcGxpY2F0aW9u
"SAAS LMS With Custom Domains & Affiliates - Nextjs15, Uploadcare, Clerk, Cloudways, Supabase",https://www.youtube.com/watch?v=pyFbM7_Ixno&t=473s&pp=ygUkbGluZWFyIGFsZ2VicmEgcHJhY3RpY2FsIGFwcGxpY2F0aW9u
"But what are Matrices, really? | Linear Algebra Explained",https://www.youtube.com/watch?v=kbtQik_7wTo&pp=ygUkbGluZWFyIGFsZ2VicmEgcHJhY3RpY2FsIGFwcGxpY2F0aW9u
Real life example of Eigen values and Eigen vectors,https://www.youtube.com/watch?v=R13Cwgmpuxc&pp=ygUkbGluZWFyIGFsZ2VicmEgcHJhY3RpY2FsIGFwcGxpY2F0aW9u
Using Algebra and Geometry in the Real World,https://www.youtube.com/watch?v=s-k9zIGu43A&pp=ygUkbGluZWFyIGFsZ2VicmEgcHJhY3RpY2FsIGFwcGxpY2F0aW9u
Linear Algebra Course – Mathematics for Machine Learning and Generative AI,https://www.youtube.com/watch?v=rSjt1E9WHaQ&pp=ygUkbGluZWFyIGFsZ2VicmEgcHJhY3RpY2FsIGFwcGxpY2F0aW9u
Why You Should Give a Shit About Linear Algebra | Practical Linear Algebra (Lecture 1),https://www.youtube.com/watch?v=FKs1XhlrZDw
Exploring Vectors | Practical Linear Algebra (Lecture 2),https://www.youtube.com/watch?v=QlE-7-UUdeU
Vectors in Python and KNN | Practical Linear Algebra (Lecture 3),https://www.youtube.com/watch?v=258u1CVlYvs
Matrix Basics | Practical Linear Algebra (Lecture 4),https://www.youtube.com/watch?v=fATZkRFIWck
Matrix Properties | Practical Linear Algebra (Lecture 5),https://www.youtube.com/watch?v=pmalCiD1fKk
Matrices and Robotics in Python | Practical Linear Algebra (Lecture 6),https://www.youtube.com/watch?v=1hG9dx600i8
Least Squares | Practical Linear Algebra (Lecture 7),https://www.youtube.com/watch?v=PWUHFkf6hmY
Applications of Least Squares | Practical Linear Algebra (Lecture 8),https://www.youtube.com/watch?v=sr0G6i-M4jY
Least Norm | Practical Linear Algebra (Lecture 9),https://www.youtube.com/watch?v=IRt8Hw8ynmM
QR Factorization | Practical Linear Algebra (Lecture 10),https://www.youtube.com/watch?v=tkwSa-FpU5A
Eigenvectors | Practical Linear Algebra (Lecture 11),https://www.youtube.com/watch?v=8y0AIcQyWIw
Applications of Eigenvectors | Practical Linear Algebra (Lecture 12),https://www.youtube.com/watch?v=VGGcdLFCgc4
Quadratic Forms and Matrix Norms | Practical Linear Algebra (Lecture 13),https://www.youtube.com/watch?v=6L2z32jzVHQ
Singular Value Decomposition | Practical Linear Algebra (Lecture 14),https://www.youtube.com/watch?v=HMqO3WMu8-Q
Applications of SVD | Practical Linear Algebra (Lecture 15),https://www.youtube.com/watch?v=DJjO2wNlpNU
